1. Which of the following most closely describes your position?	3. What is the size of the research group you are active in:	4. What do you consider to be your broad area(s) of specialist knowledge? (select all that apply)	5. Which best describes your gender? 	7. Please describe the data types and formats (e.g. image/tiff, sequencing/FASTQ, etc) that you are consistently using for your AI/ML solution (max 50 words)	12. In order of importance, what do you view as the current key challenges to delivering your AI-related research goals in Life Sciences? (max 50 words per answer)	13. What current or future AI technologies from the following list (selected from within the ACM CCS ontology) below do you consider to be more impactful in changing the current biosciences research capabilities, or deliver fundamentally new ones?	14. If you are actively developing AI / ML methods for Life Sciences, from where do you obtain your compute capacity? Please indicate all that apply.	15. Please briefly describe   the technical infrastructure you are using (max 50 words).	16. Please rank the importance of the following statements towards identifying gaps (1-5, high to low) in supporting the use of AI in your field in Life Sciences. [More early career researchers with interdisciplinary AI training, including bioscience-focussed doctoral AI training]	16. Please rank the importance of the following statements towards identifying gaps (1-5, high to low) in supporting the use of AI in your field in Life Sciences. [More opportunities for continuing professional development in training on AI fundamentals available across career stages]	16. Please rank the importance of the following statements towards identifying gaps (1-5, high to low) in supporting the use of AI in your field in Life Sciences. [More training in data science aspects essential for enabling use of AI, available across career stages]	16. Please rank the importance of the following statements towards identifying gaps (1-5, high to low) in supporting the use of AI in your field in Life Sciences. [A specified ethics and regulation framework for AI/ML applications in Life Sciences]	16. Please rank the importance of the following statements towards identifying gaps (1-5, high to low) in supporting the use of AI in your field in Life Sciences. [More collaborative cross-discipline research projects]	16. Please rank the importance of the following statements towards identifying gaps (1-5, high to low) in supporting the use of AI in your field in Life Sciences. [Greater availability of technical professionals]	16. Please rank the importance of the following statements towards identifying gaps (1-5, high to low) in supporting the use of AI in your field in Life Sciences. [Greater level of support for using computational infrastructures]	16. Please rank the importance of the following statements towards identifying gaps (1-5, high to low) in supporting the use of AI in your field in Life Sciences. [Greater level of support for embedding ML-operations within the lab]	16. Please rank the importance of the following statements towards identifying gaps (1-5, high to low) in supporting the use of AI in your field in Life Sciences. [Greater interchange between academia and industry]	16. Please rank the importance of the following statements towards identifying gaps (1-5, high to low) in supporting the use of AI in your field in Life Sciences. [Greater support for translation, commercialisation and dissemination of AI technologies]	17. What are your key skills needs relating to AI? Which do you find are most challenging to recruit and/or retain? (maximum 50 words)	18. What types of activity would you like to see supported to promote more community-level discussions and activities for AI bioscience in Greece? What benefits could such activities provide? (max 200 words)
Research group leader	6-20	Genetics 	Male	BAM, FASTQ and excel sequencing files	Variant interpretation	Natural language processing, Knowledge representation and reasoning, Computational control theory, Cognitive science, Multi-agent systems, Intelligent agents, Mobile agents, Computer vision, Supervised learning, Unsupervised learning	Local institutional resources, National computational resources (such as ELIXIR-GR HYPATIA, GRNET ARIS)	Genetic analysers	2	2	2	1 high	2	2	1 high	2	1 high	1 high	Variant interpretation	Workshops
Research & Development scientist / Postdoctoral researcher	6-20	Neuroscience and behaviour, Systems biology (mathematical and/or computational modelling)	Male	images/videos		Natural language processing, Cognitive science, Multi-agent systems, Intelligent agents, Unsupervised learning, Reinforcement learning, Neural networks, Markov decision processes	Local institutional resources	We have in the lab three desktops equipped with GPUs, and also I am using google colab and kaggle	4	5 low	5 low	5 low	4	2	5 low	4	2	1 high	Math (linear algebra, probabilities), programming	"conferences, summer schools

They will increase the networking level especially for students coming from a different background."
Research fellow	1-5	Computer Science, Software development, Technology development (software and/or hardware)	Male	(a) Tabular data with nominal, categorical and numerical attributes, (b) text written in natural language.	"(a) Lack of domain knowledge
(b) Poor data quality
(c) Lack of public real-world datasets
(d) Computational resources"	Natural language processing, Knowledge representation and reasoning, Supervised learning, Semi-supervised learning settings, Ensemble methods	Local institutional resources	GPU server with 2 GPU cards	2	2	1 high	2	1 high	1 high	1 high	3 medium	2	2	Keeping up with recent architectures that emerge mainly from the field of NLP and computer vision	Forums, meetups, and efforts in general that support the creation of communities to exchange ideas
Technical Staff	6-20	Bioinformatics and computational biology, Structural biology, Systems biology (mathematical and/or computational modelling)	Female	 CSV, TSV, TEXT, ARFF, Sequence file Format,Simple interaction file (SIF or . sif format)	a platform with specific rules and directions	Markov decision processes	NA		4	3 medium	3 medium	3 medium	4	4	4	4	4	3 medium	hmm profiles	online discussions of all elixir members-AI researchers.  People will know what other people do, help each other
Research group leader	1-5	Bioinformatics and computational biology, Computer Science		free text from the literature and textual database record fields	user training, user-tailored method/software development	Knowledge representation and reasoning	Local institutional resources		2	2	2	3 medium	3 medium	1 high	3 medium	2	2	2	Statistics/data analysis	collaborative hands-on-workshops (like hackathons and datathons)
Professor	6-20	Bioinformatics and computational biology, Computer Science, Evolutionary biology, Industrial biotechnology, Software development, Synthetic biology, Systems biology (mathematical and/or computational modelling), Technology development (software and/or hardware)		various	quality of input data/QC	Natural language processing, Knowledge representation and reasoning, Intelligent agents, Computer vision, Reinforcement learning, Rule extraction	Local institutional resources, National computational resources (such as ELIXIR-GR HYPATIA, GRNET ARIS), commercial cloud services	multi-core multi-TB servers	3 medium	3 medium	4	2	3 medium	3 medium	2	2	2	2	a proper balance between life and computer sciences	"I would not define ""AI bioscience"" separately from everything else..."
Professor	6-20	Bioinformatics and computational biology, Biomedicine, Computer Science, Systems biology (mathematical and/or computational modelling)	Male	any multiomics type, images, text, csv, excel	Money, time, and human talent.	Automated machine learning capabilities (AutoML), automated causal discovery, automated feature construction, automated data cleaning	Local institutional resources, National computational resources (such as ELIXIR-GR HYPATIA, GRNET ARIS)	local server, GRnet infrastructure when available	1 high	2	2	4	3 medium	4	3 medium	5 low	4	2	I need people that are strong in algorithms and people with strong software engineering skills. Not people that have programmed little scripts but know what it means to work on projects with 500K lines of code. Front end developers are hard to find too.	activities engaging the industry and start ups 
Research fellow	1-5	Biomedicine, Cell Biology, Evolutionary biology, Microbiology, Structural biology, Systems biology (mathematical and/or computational modelling)	Female	csv files	-	Natural language processing, Supervised learning, Unsupervised learning, Reinforcement learning, Multi-task learning, Batch learning, Online learning settings, Semi-supervised learning settings, Federated learning, Neural networks, Markov decision processes, Ensemble methods	Local institutional resources	pycharm, jupyter notebooks, colab	1 high	1 high	1 high	2	1 high	1 high	2	1 high	1 high	2	-	Discord discussions, biomedical data science competitions
Research group leader	1-5	Computer Science, Software development	Male	CSV, XML, FASTA, JSON	"- Common understanding of expectations.
- Data gathering challenges.
- Established tools oftentimes are incompatible with more recent approaches and software."	Natural language processing, Knowledge representation and reasoning, Computer vision, Active learning settings, Semi-supervised learning settings, Markov decision processes	Local institutional resources, National computational resources (such as ELIXIR-GR HYPATIA, GRNET ARIS)	AMD Ryzen Threadripper PRO 3955WX 16-Cores (x2 threads/core), 2 high-end GPUs (NVIDIA RTX A6000)	1 high	2	3 medium	2	1 high	2	4	2	4	3 medium	Machine learning, deep learning, natural language processing, reinforcement learning, representations and embeddings, cross-domain/inter-disciplinary communication capacity. Mid-seniors and seniors are scarce across all skills.	"- Funded common fora and/or targeted projects, to increase cross-disciplinary understanding.
- Community challenges.
- Brainstorming sessions with the industry."
Bioinformatician, Data Scientist, or Research Software Engineer	1-5	Bioinformatics and computational biology, Biomedicine, Systems biology (mathematical and/or computational modelling)	Male	FASTQ (RNAseq and Whole Exome Sequencing and clinical-phenotype data (flat files) 	Getting access to databases with high volumes of raw genomics and clinical data from oncology units, the GDPR restrictions of using personal/sensitive data, the different standards and protocols that scientists use to storage/keep their data (there is need for harmonization and interoperability).	Knowledge representation and reasoning, Multi-task learning, Online learning settings, Federated learning, Ensemble methods	Local institutional resources, National computational resources (such as ELIXIR-GR HYPATIA, GRNET ARIS)	Dell PowerEdge R440 Rack Server (16GB RDIMM RAM, 2TB HDD) with Dell Intel Xeon Silver 4114 Processor 2.2G 10C/20T, 9.6GT/s – 4114-338-BLTV (10-core / 20 threads, 14MB Cache, 2.2 GHz, 85W)	2	1 high	3 medium	3 medium	3 medium	4	2	3 medium	2	2	statistical analysis, programming language and data modeling. Programming language and statistical analysis are the most challenging to recruit and/or retain.	Seminars, courses and hands-on workshops organized from informaticians, statisticians and biomedical scientists in order to provide AI certificates.
